Name,IdMonstre,Type,Description
Brimstone Death's Head,212,3,"Invulnerable enemy that moves diagonally around the room, pausing to fire a Brimstone laser when Isaac lines up with it in the cardinal directions. Dies when the room is cleared."
Brimstone Head,203,0,Stationary and invulnerable monster that fires Brimstone beams in a specific direction.
Broken Gaping Maw,236,0,"Stationary and invulnerable monster that sucks Isaac towards it, along with Isaac's tears and enemy projectiles. Alternates between active and inactive every couple of seconds. Has a stronger attraction power than a regular Gaping Maw."
Brownie Corn,217,2,"Quickly dashes in random directions, dealing contact damage."
Bubbles,806,0,"Slowly walks towards Isaac, firing back shots upon taking damage. Occasionally farts, which pushes Isaac and adjacent enemies away and creates a chaotic burst of shots. Creates a geyser of water shots upon death."
Bulb,61,5,"Flies in erratic, angled movements toward Isaac if his active item has charges; on contact, they drain up to 2 charges, but never deal contact damage. If he has no active item, or no charges, they wander around the room aimlessly."
Butt Slicker,878,0,"Moves erratically around the room unless attached to another Butt Slicker. Grouped Butt Slickers drag themselves towards Isaac, and when an individual is killed they leave black creep, and shoot out black projectiles. The amount of projectiles released and the size of the pool of Black Creep  is determined by the amount of Butt Slickers attached."
Buttlicker,89,0,"Can start attached to other Buttlickers and erratically moves around the room, similar to Larry Jr. ."
Camillo Jr.,230,0,"Moves around the room diagonally, occasionally firing Technology lasers towards Isaac. Fires more often upon getting damaged."
Candler,833,0,Flies around the room and propels itself by spawning flames.
Carrion Princess,23,3,"Slowly moves around the room, charging at Isaac when he lines up diagonally with it. Can only be damaged by hitting its tail."
Charger,23,0,"Slowly moves around the room, charging at Isaac when he gets in its line of sight."
Chubber,39,2,"Randomly wanders around the room. Pauses to fire a Charger that deals one heart of damage when Isaac gets in its line of sight. The Charger is invulnerable, blocks Isaac's tears, has limited range, and flies back to the Chubber."
Clickety Clack,889,0,Walks towards Isaac and turn into a pile of bones when killed. Regenerates a few seconds after killed. Will only despawn if all Clickety Clacks in the room are killed.
Cloggy,872,0,"Randomly wanders around the room, firing four curved brown shots in the cardinal directions. These shots alternate between rotating clockwise and counterclockwise with each shot."
Clot,15,1,"Randomly wanders around the room, firing 4 tar shots in the ordinal directions."
Clotty,15,0,"Randomly wanders around the room, firing 4 blood shots in the cardinal directions."
Coal Boy,820,1,"Walks toward Isaac and spits hot coals at him, some of which may be Coal Spiders ."
Coal Spider,818,2,"Quickly crawls around the room. If it sees Isaac, it crawls at him, trying to deal contact damage. Turns into a hot coal upon death that blocks shots and deals contact damage, but can be destroyed."
Cod Worm,221,0,Stationary enemy that hides in a shell and spews a burst of blood shots if shot at. Only vulnerable when it pops its head out.
Cohort,857,0,"Acts similarly to Monstro , hopping towards Isaac and can either spit a large projectile towards Isaac that bursts into 8 smaller projectiles or cough up a burst of arcing projectiles and a pile of Globin goo. Spawns 4 piles of Globin goo upon death."
Conjoined Fatty,257,0,Slowly walks towards Isaac. Occasionally pauses to fart out a line of damaging Green Creep towards Isaac. Chance to turn into a regular Fatty upon death.
Conjoined Spitty,243,0,"Slowly moves around the room, occasionally firing a blood shot from both ends of its body."
Constant Stone Shooter,202,0,Stationary and invulnerable monster that continuously fires shots in a single direction.
Corn,217,1,"Quickly dashes in random directions, dealing contact damage."
Corn Mine,295,0,"Goes off when destroyed or after some time, then releases a cloud of poisonous gas and fires corny shots in eight directions."
Crackle,87,1,"Walks toward Isaac, dealing contact damage and spitting fireballs that create lines of fire in the cardinal directions on impact."
Crazy Long Legs,207,0,"Chases Isaac, dealing touch damage. Occasionally stops to spit 8 blood shots in all directions."
Crispy,226,2,"Slowly walks towards Isaac, but increases in speed as they take damage. Constantly passively takes damage."
Cross Stone Shooter,202,10,"Stationary and invulnerable monster that continuously fires shots in four directions, alternating between cardinal and ordinal."
Cross Stoney,302,10,Chases Isaac and shoots 4 tears vertically and diagonally like a Cross Stone Shooter . Dies when the room is cleared. Only appears in Aprils Fool (challenge #32) as replacements to regular Stoneys.
Cultist,885,0,"Creates an indestructible, homing Purple Ball at the start of the room and follows it around, occasionally leaving it to revive enemies that have died in the current room."
Cursed Death's Head,212,2,"Invulnerable enemy that moves diagonally around the room, dealing contact damage.  If Isaac enters its purple aura, he will be inflicted with fear and be temporarily unable to shoot. Dies when the room is cleared."
Cursed Globin,24,3,"Chases Isaac, dealing a full heart of contact damage. Upon taking enough damage, it collapses into 1-2 piles of goo, each of which can be killed and regenerate after a short period of time if not killed quickly. These goo piles have less health the more times the Cursed Globin splits."
Cyclopia,284,0,"Walks towards Isaac, dealing contact damage and leaving behind a short-lasting trail of damaging Red Creep . Occasionally shoots a blood shot towards Isaac."
Cyst,862,0,"Attaches itself to a wall or obstacle and rolls around it, regularly firing blood shots at Isaac."
Dank Charger,23,2,"Slowly moves around the room, launching itself at Isaac if he gets in its line of sight. Bounces off of walls and leaves a trail of slowing Black Creep while charging."
Dank Death's Head,212,1,"Moves diagonally around the room, dealing contact damage. Needs to be killed to complete the room."
Dank Globin,24,2,"Chases Isaac, dealing a full heart of contact damage. Upon taking enough damage, it collapses into a pile of goo, spawns a Spider , and leaves a puddle of slowing Black Creep . Will regenerate after a short time if not killed quickly. Leaves another puddle of Black Creep upon death."
Dank Squirt,220,1,"Dashes towards Isaac and deals contact damage, creating slowing black creep . Spawns 2 Clots upon death."
Danny,820,0,"Walks toward Isaac and spits chaotic bursts of rocks at him, some of which may be Rock Spiders ."
Dark Ball,404,1,"Floats towards Isaac, doing contact damage."
Dart Fly,256,0,Flies towards Isaac and attempts to predict his movements. Deals contact damage.
Dead Isaac,912,20,"Summoned by Mother at the bottom of the arena, they walk upward (ignoring Isaac completely), and deal contact damage. Releases a burst of blood shots upon being killed by Mother, while she launches their corpses towards Isaac."
Dead Meat,57,2,"Slowly moves around the room, occasionally hopping and firing 8 large blood shots in all directions that bounce off the walls. Splits into 2 Cysts upon death."
Death Scythe,66,10,"Stays stationary for a few seconds, then homes in on Isaac."
Death's Head,212,0,"Invulnerable enemy that moves diagonally around the room, dealing contact damage. Dies when the room is cleared."
Deep Gaper,811,0,"Emerges from the floor once all previous enemies have been killed, then proceeds to chase Isaac. Deals contact damage."
Dinga,223,0,"Slowly moves around the room, occasionally hopping to spawn Dips or fire 8 Brown shots in all directions. Splits 2 Squirts upon death."
Dip,217,0,"Slowly dashes in random directions, dealing contact damage."
Dople,53,0,Mirrors Isaac's movements and fires blood shots at the same time as Isaac. Can be damaged by spikes.
Double Vis,39,1,Randomly wanders around the room. Pauses to charge and fire a Brimstone laser which fires from both sides when Isaac gets in its line of sight.
Dragon Fly,25,3.0,"Flies across the room in straight diagonal lines, dealing contact damage. Upon death, creates four lines of fire in the cardinal directions; the fire nearly spans the length of an entire normal-sized room."
Dragon Fly X,25,3.1,"Flies across the room in straight diagonal lines, dealing contact damage. Upon death, creates four lines of fire in the ordinal directions; the fire nearly spans the length of an entire normal-sized room."
Drip,870,0,"Quickly rolls around in diagonal directions, dealing contact damage."
Drowned Boom Fly,25,2,"Flies across the room in straight diagonal lines, dealing contact damage. Upon death, explodes and fires four blood shots in the cardinal directions. Also has a chance to spawn a Drowned Charger upon death."
Drowned Charger,23,1,"Slowly moves around the room, charging at Isaac when he gets in its line of sight. Explodes into four blood shots in the ordinal directions upon death."
Drowned Hive,22,1,"Wanders around the room, avoiding Isaac and spawning Drowned Chargers if he gets close. Spawns 0-2 Drowned Chargers upon death."
Dukie,288,0,"Flies around the room diagonally, occasionally spitting out 1-2 Dart Flies ."
Dummy,964,0,"Only encounterable through Debug Console , it is immobile, harmless, and used to track Isaac's damage."
Dump,876,0,"Slides toward Isaac, leaving a trail of slippery brown creep . After taking enough damage, its head slides off and quickly bounces around the room and its body spews out brown shots until it empties."
Dump Head,876,1,"Quickly slides toward Isaac, leaving a trail of slippery brown creep . Can spawn on its own or be created by a Dump after it takes enough damage."
Dust,882,0,"Follows Isaac, and is only visible when close to Isaac. Will begin to speed up when they are visible. Teleports away after taking enough damage."
Dusty Death's Head,887,0,Invulnerable enemy that moves across the room in a waving motion in large quantities. Dies when the room is cleared.
Eggy,29,2,"Hops aimlessly around the room, spawning slowing white creep wherever it hops. Spawns a group of Swarm Spiders upon death."
Elleech,855,1,"Slowly moves around the room. After Isaac gets in its line of sight, continuously charges at him in the closest cardinal direction."
Embryo,77,0,"Aimlessly hops around the room, dealing contact damage."
Eternal Fly,96,0,Invulnerable fly that circles Corny Poop and various monsters. Deals contact damage. Turns into a vulnerable Attack Fly after the object or monster it circles is destroyed.
Eternal Fly Bomb,819,1,"Orbits Boom Flies spawned by The Horny Boys . Once its Boom Fly has been killed, turns into a tiny Bomb ."
Evil Twin,53,1,Mirrors Isaac's movements and fires three spread blood shots at the same time as Isaac. Can fly over obstacles.
Evis,865,0,"Randomly wanders around the room. Launches a string of guts when Isaac gets close to it, which it uses to pull Isaac toward itself."
Exorcist,832,0,Summons The Heretic before transforming into Fanatics .
Eye,60,0,Slowly turns towards Isaac and fires a Technology laser at Isaac if he stands still or is too slow.
Faceless,827,0,"Wanders around the room, rarely firing a radial burst of six shots. Chases Isaac and fires shots more frequently after taking damage."
Fanatic,832,1,"Transformed into from Exorcists . Chases Isaac and occasionally fires two purple, rotating shots."
Fat Bat,258,0,Slowly flies towards Isaac. Tries to align itself diagonally to Isaac and shoots at him when in that alignment.
Fat Sack,209,0,"Slowly walks towards Isaac. Occasionally leaps off-screen and attempts to land on Isaac, leaving a puddle of Red Creep and shooting 6 blood shots in all directions where it lands. Has a chance to turn into a Blubber upon death."
Fatty,208,0,"Slowly walks towards Isaac. Occasionally farts, which pushes Isaac and adjacent enemies away."
Festering Guts,831,20,"Spawned by Gutted Fatties , Festering Guts randomly slide around the room and occasionally spawn a Charger ."
Fetal Demon,886,1,"Usually encountered tethered to Vis Fatties . When tethered it makes short lunges towards Isaac if he gets close. If the Vis Fatty is killed or when encountered alone, it will chase Isaac, similarly to Gemini 's Suture."
Fire Worm,825,0,Pops out of the ground in random locations in the lava and fires one flame at Isaac.
Fissure,815,0,Jumps out of pits and bounces around the room. Spawns endlessly from pits until room clear. Do not need to be killed to clear room.
Fistuloid,308,0,"Flies towards Isaac in an erratic waving motion, periodically firing a blood shot towards Isaac that also knocks itself back. Upon death, fires a worm that flies off screen."
Flagellant,834,2,"Runs around the room. When Isaac gets in its line of sight, continuously chases him and lashes its whip, occasionally deflecting Isaac’s shots."
Flaming Fatty,208,2,"Slowly walks towards Isaac. Occasionally farts, which pushes Isaac and adjacent enemies away and spawns a damaging flame. Has a chance to leave behind a damaging flame upon death."
Flaming Gaper,10,2,"Walks towards Isaac, dealing contact damage. Usually turns into a Pacer or Gusher upon death."
Flaming Hopper,54,0,"Quickly hops around the room, doing contact damage. Covers a larger distance than the regular Hopper."
Flesh Death's Head,286,0,"Moves diagonally around the room, dealing contact damage. Releases 6 blood shots in all directions upon death. Can be killed, but also dies when the room is cleared."
Flesh Maiden,880,0,Vaguely flies towards Isaac in curved swooping motions.
Flesh Mobile Host,247,0,"Acts like the Red Host, but follows Isaac and deals contact damage."
Floast,859,0,"Floats diagonally around the room and is normally invulnerable. When Isaac gets close, reveals a fleshy stem that can be damaged and fires 3 blood shots in an angle at him before hiding its stem again."
Floating Knight,254,0,"Behaves like the Knight but slower, and can fly over all obstacles."
Fly,13,0,"Hovers in place. Does not deal contact damage and is harmless, but can turn into Pooters if they stay around Poop ."
Fly Bomb,819,0,"Flies toward Isaac, circling around him as it does. Turn into a tiny Bomb upon death."
Fly Trap,873,0,"Floats towards Isaac, with 3 Attack Flies circling around it. Coughs up additional Attack Flies and releases gas to launch the Attack Flies outwards."
Fred,59,0,"Hops out of the ground and burrows elsewhere, firing 4 blood shots in the cardinal directions. Occasionally fires red Ipecac shots at Isaac."
Frowning Gaper,10,0,"Walks towards Isaac, dealing contact damage. They start out with their eyes closed, but when they gain line of sight with Isaac, their eyes open and they permanently move faster. Usually turns into a Pacer or with a small chance a Gusher upon death."
Full Fly,249,0,"Flies toward Isaac erratically, dealing contact damage. Releases 6 bullets in all directions upon death."
Gaper,10,1,"Walks towards Isaac, dealing contact damage. Usually turns into a Pacer or a Gusher upon death."
Gaping Maw,235,0,"Stationary and invulnerable monster that sucks Isaac towards it, along with Isaac's tears and enemy projectiles."
Gas Dwarf,874,0,"Chases Isaac, periodically coughing up gas clouds. On death, fires an explosive shot that can detonate gas clouds it hits."
Gasbag,856,0,Occasionally summons Army Flies to chase Isaac. Is surrounded by a ring of toxic gas that hurts Isaac if he stands in it for too long.
Gazing Globin,24,1,"Quickly chases Isaac, dealing a full heart of contact damage. Upon taking enough damage, it collapses into a pile of goo, which will slide away from Isaac and can be killed. Will regenerate after a short period of time if not killed quickly."
Globin,24,0,"Chases Isaac, dealing a full heart of contact damage. Upon taking enough damage, it collapses into a pile of goo, which can be killed. Will regenerate after a short period of time if not killed quickly."
Goat,891,0,"Wanders around the room. Occasionally moves toward Isaac, either firing blood shots at him or charging if he lines up on either side of it."
Greed Gaper,299,0,"Walks towards Isaac, dealing contact damage."
Grilled Clotty,15,3,"Quickly and randomly wanders around the room, firing four flame shots in the cardinal directions at a slight angle."
Grilled Gyro,824,1,"Rolls around like a wheel. Charges at Isaac when he is in line of sight, bouncing off of walls and obstacles and creating fires behind itself as it does."
Grub,239,0,"Erratically moves around the room like Larry Jr. and charges at Isaac when he gets within its line of sight. Spawns Maggots , Chargers , or Spitties upon death, one for each of its segments."
Grudge,877,0,Quickly slides towards Isaac when he gets in its line of sight. Cannot be destroyed.
Gurgle,87,0,"Walks towards Isaac, dealing contact damage and periodically firing Ipecac shots at him; they are immune to this explosion, but other enemies are not. Can turn into a Splasher upon death."
Gurgling,237,0,"Charges towards Isaac when he lines up with them, leaving a trail of Red Creep and shooting 6 blood shots."
Gush,309,0,"Stationary, harmless enemy that continually creates slowing black creep ."
Gusher,11,0,"Walks aimlessly around the room, occasionally firing a short-ranged blood shot."
Gut,30,1,"Stationary enemy that decreases in size when hit, but regenerates to its full size until fully destroyed. Fires Ipecac shots in random directions when fully swollen."
Guts,40,0,Attaches itself to a wall or obstacle and rolls around it.
Gutted Fatty,831,0,"Slowly lumbers around the room, occasionally spawning Festering Guts . Its eyes dislocate as it takes damage, which are invincible and follow the Gutted Fatty but chase Isaac if he gets close to them. Creates a geyser of blood projectiles upon death."
Gutted Fatty Eye,831,10,"Invulnerable enemy spawned by Gutted Fatties. Hovers around their correlating Gutted Fatty unless Isaac draws near, after which it will chase Isaac, blocking tears and dealing contact damage."
Gyro,824,0,"Rolls around like a wheel. Charges at Isaac when he is in line of sight, bouncing off of walls and obstacles as it does."
Half Sack,211,0,Wanders around aimlessly and leaves a trail of Red Creep.
Hanger,90,0,"Floats around the room, firing 3 spread blood shots at Isaac. Upon damaging Isaac, Isaac drops 2 coins on the ground but loses 3. Spawns with an Eternal Fly circling around it."
Hard Host,27,3,"Stationary enemy that is normally invulnerable. Raises its head up when Isaac gets close, revealing a fleshy stem that can be damaged. Shortly after raising its head, it slams its head down and fires a rock wave towards Isaac."
Hardy,826,0,"Dashes toward Isaac and deals contact damage creating rock projectiles when it hits a wall/obstacle. It spawns more rock projectiles the more times it crashes into obstacles, dying after doing so a third time."
Henry,837,0,Flushes itself away shortly after Isaac enters the room.
Hive,22,0,"Wanders around the room, avoiding Isaac and spawning Attack Flies if he gets close. Spawns a large number of flies on death, which can be Flies , Attack Flies , and/or Pooters ."
Holy Bony,227,1,"Wanders around the room, throwing a bone at Isaac when he is in sight. The thrown bone leaves behind a blue flame that deals contact damage, blocks Isaac’s shots, and despawns after some time."
Holy Eye,60,2,Rapidly summons several beams of light around Isaac every few seconds.
Holy Leech,55,2,"Quickly charges towards Isaac when he gets in its line of sight. Explodes upon death. Spawns with an Eternal Fly circling it, which instantly dies when the Holy Leech explodes."
Holy Mulligan,22,2,"Wanders around the room, avoiding Isaac and spawning Angelic Baby (small) if he gets close. Spawns 1-2 Embryos upon death."
Homunculus,228,0,"Starts attached to the wall or an obstacle. After a while, it detaches, shooting 6 blood shots in all directions, leaving a puddle of Red Creep and chasing Isaac. If it dies while still attached, it will still leave a puddle of Red Creep."
Hopper,29,0,"Slowly hops around the room, doing contact damage. Can turn into a Flaming Hopper by jumping into Fire Places or other fires."
Horf,12,0,Stationary enemy that fires a medium-ranged blood shot at Isaac when he gets in range of them.
Host,27,0,"Stationary enemy that is normally invulnerable. Raises its head up when Isaac gets close, revealing a fleshy stem that can be damaged. Upon raising its head, it will fire 3 blood shots in a spread and lower its head again."
Hush Fly,296,0,"Gathers with other Hush Flies to form certain patterns. If spawned by Hush , can chase Isaac or orbit Hush. Deals contact damage."
I.Blob,15,2,"Randomly wanders around the room, firing 8 shots in all directions."
Imp,259,0,"Slowly drifts towards Isaac, frequently firing 5 blood shots in quick succession towards him. Tries to avoid Isaac's shots and occasionally teleports and reappears elsewhere."
Ink,61,3,Flies slowly towards Isaac. Fires four shots in the ordinal directions and leaves a puddle of slowing Black Creep upon death.
Kamikaze Leech,55,1,Quickly charges towards Isaac when he gets in its line of sight. Explodes upon death.
Keeper,86,0,"Hops around the room, firing 2 blood shots in a V formation at Isaac. Upon damaging Isaac, Isaac drops 2 coins on the ground but loses 3."
Kineti,816,1,Uses telekinesis to pick up and throw rocks and obstacles at Isaac.
Knight,41,0,Moves erratically around the room and charges towards Isaac when in line of sight. Can only be damaged from behind.
Leaper,34,0,"Hops around the room, doing contact damage. Occasionally jumps high into the air, dropping down onto Isaac's position while firing 4 blood shots in the cardinal directions."
Leech,55,0,Quickly charges towards Isaac when he gets in its line of sight.
Leper,310,0,"Alternating between walking towards and running away from Isaac. Releases a Leper Flesh each time it takes enough damage. At low health, constantly chases Isaac and leaves behind damaging red creep . Spawns a Leper Flesh and Gusher upon death."
Leper Flesh,310,1,Floats slowly toward Isaac and fires a predictive projectile at him upon death.
Level 2 Charger,855,0,"Slowly moves around the room, charging at Isaac when he gets in its line of sight. Can slowly change its trajectory while charging."
Level 2 Fly,214,0,"Flies toward Isaac erratically, dealing contact damage."
Level 2 Gaper,850,0,"Walks towards Isaac, dealing a full Heart of contact damage. Splits into a Level 2 Horf and Level 2 Gusher upon death."
Level 2 Gusher,850,2,"Runs aimlessly around the room, spitting up Small Maggots ."
Level 2 Horf,850,1,"Slowly floats toward Isaac, spitting Small Maggots at him."
Level 2 Spider,215,0,"Crawls around the room erratically, following Isaac and dealing contact damage. Can jump small distances."
Level 2 Willo,838,0,"Orbits enemies and shoots tears at Isaac. If the enemy it is orbiting dies, it will orbit another enemy. However, if all enemies are dead, it will chase Isaac, while still occasionally shooting at Isaac."
Lil Portal,306,1,Spawns fly and spider enemies until it is destroyed.
Lil' Haunt,260,0,"Floats toward Isaac and occasionally fires a blood shot at him, predicting his movements."
Loose Knight,41,2,"Moves erratically around the room, charges toward Isaac when in line of sight. When its health is depleted, it turns into a Brainless Knight and a Pon ."
Lump,56,0,Fires 3 spread blood shots at Isaac when he gets in its line of sight. Will burrow underground and reappear elsewhere after firing.
Maggot,21,0,"Aimlessly moves around the room, dealing contact damage."
Mama Fly,61,4,"Flies more-or-less away from Isaac, occasionally plopping on the ground to plant a Pustule . Upon death, they spawn a group of Small Maggots ."
Mama Guts,57,1,"Slowly moves around the room, occasionally hopping and firing 8 large blood shots in all directions. Splits into 2 Guts upon death."
Mask + Heart,93,0,"The Mask is invulnerable and moves around erratically, charging at Isaac when he lines up with it. The Heart avoids Isaac and fires 4 blood shots in the cardinal directions when Isaac gets near. Killing the Heart will automatically kill the Mask."
Mask II + 1/2 Heart,93,1,"The Mask is invulnerable and moves around erratically, charging at Isaac when he lines up with it. The Heart avoids Isaac and fires 4 blood shots in the ordinal directions when Isaac gets near. Killing the Heart will automatically kill the Mask. If there are more than one 1/2 Heart in the room, they will fire blood shots between each other."
Maw,26,0,"Slowly floats towards Isaac, firing a blood shot at him when he is in their range."
Maze Roamer,890,0,"Wanders around the room and shoots an eyeball at Isaac when he is in sight. Has a clone of itself on the other side of the room that mimics its movement and shots. If one dies, the other starts actively pursuing Isaac."
Meatball,290,0,"Slides around the room. If Isaac is in sight, it will stop to spew a fountain of short-range blood shots in all directions or to spit a line of damaging Red Creep towards Isaac. Spawns a Host upon death."
Mega Clotty,282,0,"Slowly moves around the room, occasionally hopping and either firing 6 blood shots in all directions, leaving a puddle of Red Creep, or spawning a Clotty or a collapsed Globin . Splits into two Clotties upon death."
MemBrain,57,0,"Slowly moves around the room, occasionally hopping and firing 8 large blood shots in all directions. Splits into 2 Brains upon death."
Migraine,869,0,"Crawls around the room erratically, following Isaac and dealing contact damage. Can jump small distances. Releases multiple Troll Bombs upon death."
Ministro,305,0,"Hops around randomly and hop towards Isaac when he gets close, occasionally spitting out a cluster of disorganized shots."
Mobile Host,204,0,"Acts like the Host, but follows Isaac and deals contact damage."
Mockulus,864,0,"Invulnerable enemy that rapidly floats diagonally over obstacles and bounces off of walls, blocking tears and dealing contact damage. They can only move while Isaac is shooting."
Mole,829,0,Burrows towards Isaac and jumps out the ground to fire 3 blood shots at him.
Mom's Dead Hand,287,0,"Falls from the ceiling. Upon landing, it spawns several rock waves that travel outwards. Spawns several spiders upon death. Entering a room containing Mom's Dead Hand will warn Isaac with Mom's laugh."
Mom's Hand,213,0,"Falls from the ceiling. If it lands on Isaac, it deals damage and teleports him back to the spawn room of the floor. Entering a room containing Mom's Hand will warn Isaac with Mom's laugh."
Morningstar,863,0,"Floats toward Isaac to deal contact damage while Isaac is moving, gaining speed the longer Isaac continues moving. Stops moving when Isaac stops moving."
Moter,80,0,"Follows Isaac, similar to Attack Flies . Deals contact damage. Splits into 2 Attack Flies upon death."
Mr. Maw,35,0,Walks towards Isaac and attacks by launching its head towards him. Turns into a Maw or Gusher upon death depending on the killed body segment. Occasionally separates at will.
Mr. Mine,311,0,"Can only appear in pits. Attempts to launch itself at Isaac if he comes near. Occasionally burrows and pops up in another pit, and fires six shots in all directions upon death."
Mr. Red Maw,35,2,Walks towards Isaac and attacks by launching its head towards him. Turns into a Red Maw or Gusher upon death depending on the killed body segment. Occasionally separates at will.
Mulliboom,16,2,Chases Isaac and explodes upon death or upon touching Isaac. The explosion deals a half-heart of damage instead of the regular full heart.
Mulligan,16,0,"Walks around the room, avoiding Isaac. Upon death, spawns several flies, which can be Flies , Attack Flies , and/or Pooters . Can self-detonate and launch four projectiles in the cardinal directions while still releasing flies."
