Name,id,Description
Bloody Crown,111,Drips with blood...
Butter!,122,Can't hold it!
Cracked Crown,92,Stat booster
Crow Heart,107,Drain me
Dim Bulb,101,I think it's broken
Door Stop,124,Hold the door!
Duct Tape,109,Stuck!
Equality!,103,=
Extension Cord,125,Charged friends
Filigree Feather,123,Angelic spoils
Finger Bone,128,It looks brittle
Fish Tail,94,It also stinks!
Fragmented Card,102,Double moon
Hairpin,120,Danger charge
Locust of Conquest,117,I bring Conquest
Locust of Death,116,I bring Death
Locust of Famine,115,I bring Famine
Locust of Pestilence,114,I bring Pestilence
Locust of War,113,I bring War
Lost Cork,106,Uncorked
Meconium,91,Eww
Nose Goblin,98,Seems magic...
Ouroboros Worm,96,Foop foop!
Pay to Win,112,...
Rotten Penny,126,Wealth of flies
Silver Dollar,110,Feels lucky...
Stem Cell,119,Regen!
Super Ball,99,Boing!
Tonsil,97,Sick...
Used Diaper,93,You stink
Vibrant Bulb,100,It needs power
Walnut,108,That's a hard nut to crack!
Wish Bone,104,Make a wish
Wooden Cross,121,My faith protects me
'M,138,t's broken9Reroll your dest
A Lighter,135,Watch the world burn
Adoption Papers,184,Give them a home
Apollyon's Best Friend,186,Attack buddy
Apple of Sodom,140,It feels empty
Azazel's Stump,162,Unleash your inner demon
Beth's Essence,182,Virtue's reward
Beth's Faith,142,My faith protects me
Blessed Penny,131,Wealth of purity
Blue Key,150,Look between the rooms
Brain Worm,144,Ding!
Broken Glasses,187,Double vision?
Broken Padlock,136,Bombs are key
Broken Syringe,132,Mystery medicine
Charged Penny,147,Wealth of power
Chewed Pen,130,It's leaking
Cricket Leg,185,Infested
Crystal Key,170,Call to the other side
Cursed Penny,172,Wealth of misery
Devil's Crown,146,His special customer
Dice Bag,154,Bonus roll
Dingle Berry,163,Oops!
Expansion Pack,181,Fun extras
Flat File,151,No more spikes
Forgotten Lullaby,141,Sing for your friends
Found Soul,180,Finally!
Friendship Necklace,148,Gather round
Gigante Bean,134,Mega farts
Gilded Key,159,Less is more
Hollow Heart,168,A brittle blessing
Holy Crown,155,Walk the path of the saint
Ice Cube,188,Stay frosty
Jawbreaker,129,Don't chew on it
Keeper's Bargain,171,Money talks
Kid's Drawing,169,Looks familiar...
Lil Clot,176,Mini friend
Lucky Sack,160,Free goodies!
Modeling Clay,166,???
Mom's Lock,153,A piece of her love
Mother's Kiss,156,HP up
Myosotis,137,Forget me not...
Nuh Uh!,165,Don't want!
Number Magnet,174,6
Old Capacitor,143,Voltage starving
Panic Button,149,Push in case of emergency
Perfection,145,Luck way up. Don't lose it!
Polished Bone,167,Friends from beyond
RC Remote,179,Controllable buddies!
Ring Cap,164,Twice the bang!
Short Fuse,133,Faster explosions
Sigil of Baphomet,189,Revel in death
Strange Key,175,What could it open?
Swallowed M80,178,Bang!
Teardrop Charm,139,It feels lucky
Telescope Lens,152,Seek the stars
Temporary Tattoo,177,You feel braver
The Twins,183,I'm seeing double...
Torn Card,157,Death awaits
Torn Pocket,158,A hole in your pocket
Wicked Crown,161,Walk the path of the wicked
Your Soul,173,Give it to me
