Name,id,Description
Super Bandage,92,Grants one full Red Heart container and 2 Soul Hearts .
Sack of Pennies,94,Spawns a familiar that drops a coin every 2 rooms .
Robo-Baby,95,Spawns a familiar that shoots Technology lasers.
Little C.H.A.D.,96,Spawns a familiar who drops a Half Red Heart every 3 rooms.
The Relic,98,Spawns a cross familiar that drops a Soul Heart after clearing enough rooms .
Little Gish,99,"Spawns a familiar that follows Isaac around and fires slowing tears , impeding enemies' speed."
Little Steven,100,Spawns a familiar who follows Isaac around and fires homing tears .
The Halo,101,"Grants one full Red Heart container , +0.3 damage , +0.2 tears , +0.25 range , +0.3 speed , and +0.5 tear falling speed . Grants one full Red Heart container , +0.3 damage , +0.2 tears , +1.5 range , and +0.3 speed . Heals 1 additional Red Heart ."
The Common Cold,103,"Adds a chance to shoot poison tears , dealing damage over time when inflicted."
The Parasite,104,Isaac's tears split in two when they hit something.
Mr. Mega,106,"+5 Bombs . Increases the size, blast radius, and damage of Isaac's bombs."
The Wafer,108,Most sources of damage that would cause more than one-half heart of damage are reduced to one-half heart instead.
Money = Power,109,"Increases damage by 0.04 for every coin Isaac has, up to +3.96 damage at 99 coins."
Mom's Contacts,110,"Adds a chance to shoot petrifying tears , which stop enemies in place and prevent them from moving or attacking. +0.25 range . +1.5 range ."
Guardian Angel,112,"Spawns an orbital familiar that blocks enemy shots, deals 7 damage per tick on contact, and increases the speed of all orbital familiars."
Demon Baby,113,Spawns a familiar that follows Isaac and automatically fires at enemies in its reach.
Mom's Knife,114,"Isaac's tears are replaced by a knife that pierces enemies, can travel through obstacles, and can hurt enemies while Isaac is holding it. Holding down the fire button before firing increases its range and power."
Ouija Board,115,Grants spectral tears that travel through obstacles (but not enemies). +0.5 tears .
9 Volt,116,Reduces the charge of any activated item by 1. Any 1 charge items instead have timed recharges.
Dead Bird,117,"After Isaac takes damage, spawns a flying familiar that chases enemies for the current room , dealing ~4 damage per second."
Brimstone,118,Tears are replaced with a blood laser beam that pierces through all enemies and obstacles in its path and deals high damage. Can only be fired after a short charge-up period.
Blood Bag,119,"Grants one filled Red Heart container , restores 4 Red Hearts , and increases speed by 0.3."
Odd Mushroom,120,"+1.7 tears , +0.3 speed , slightly reduces damage ."
Odd Mushroom,121,"Grants one empty Heart container , +0.3 damage , +0.25 range , +0.5 tear falling speed , and -0.1 speed . Grants one full Heart container , +1 damage , +1.5 range , and -0.2 speed"
Whore of Babylon,122,Grants +1.5 Damage and +0.3 Speed whenever Isaac has a Half Red Heart or less.
Bobby-Bomb,125,"+5 Bombs . Bombs gain a homing effect, slowly moving towards the nearest enemy."
Forever alone,128,"Spawns an attack fly that orbits a long distance from Isaac, dealing 30 damage per second."
Bucket of Lard,129,"Grants two empty Red Heart containers , heals Isaac for a Half Red Heart , -0.2 speed . Grants two Red Heart containers , -0.2 speed ."
Bomb Bag,131,Spawns a familiar that drops a Bomb every 3 rooms.
A Lump of Coal,132,"The more distance tears travel, the more damage they will do."
Guppy's Tail,134,Room Clear Awards have a 1/3 chance of being replaced with a Chest and a 2/9 chance being replaced with nothing.
Stigmata,138,"+0.3 damage , grants one full Red Heart container . Heals 1 additional Red Heart ."
Mom's Purse,139,Allows Isaac to hold one additional trinket . Drops a random trinket.
Bob's Curse,140,"+5 Bombs . Grants Isaac's bombs a poison effect. They also leave a lingering poison cloud, and Isaac becomes immune to poison."
Pageant Boy,141,Spawns seven random coins around Isaac.
Scapular,142,"Once per room, when Isaac is reduced to his last half heart, he is granted one Soul Heart ."
Speed Ball,143,"+0.3 speed , +0.2 shot speed ."
Bum Friend,144,"Spawns a familiar that picks up coins for himself, giving random pickups in return. Can spawn Items from the Beggar Item Pool ."
Infestation,148,1-3 Blue Flies randomly spawn every time Isaac gets hit. 2-6 Blue Flies randomly spawn every time Isaac gets hit.
Ipecac,149,Replaces tears with explosive and poisoning projectiles fired in an arc from the mouth.
Tough Love,150,"Adds a chance to shoot a tooth instead of a tear, which deals x3.2 Isaac's damage ."
The Mulligan,151,Tears have a 1/6 chance of spawning allied Blue Flies when they hit an enemy.
Technology 2,152,Replaces the tears fired from Isaac's right eye with a rapid-firing low damage piercing laser. Damage down.
Mutant Spider,153,Isaac shoots four tears at once with lower fire rate .
Chemical Peel,154,Tears fired from the left eye have +2 flat damage .
The Peeper,155,"Spawns a familiar that slowly floats around the room in a zig-zag pattern, damaging enemies it passes through. Increases the damage of tears from Isaac's left eye by 35%."
Habit,156,"When Isaac is hit, his active item gains 1 room's worth of charge."
Bloody Lust,157,"Increases Isaac's damage whenever he takes damage, up to six times. The bonus resets when entering a new floor."
Spirit of the Night,159,Grants spectral tears and flight .
Ankh,161,"Upon death , Isaac will respawn as ??? in the previous room, with 3 Soul Hearts ."
Celtic Cross,162,"Grants a chance to trigger the Book of Shadows effect upon taking damage, creating a shield that nullifies all types of damage for 7 seconds."
Ghost Baby,163,Spawns a familiar that follows Isaac around and fires spectral tears .
Cat-o-nine-tails,165,"+1 damage , +0.23 shot speed ."
Harlequin Baby,167,Spawns a familiar that follows Isaac around and fires two tears at once in a V-pattern.
Epic Fetus,168,"Isaac's tears are replaced with guided missiles, like those used by the Doctor's Remote ."
Polyphemus,169,"Isaac fires huge tears that deal massive damage , but fire rate is greatly decreased. If a tear kills an enemy, it travels on with any leftover damage."
Daddy Longlegs,170,Daddy Long Legs' shadow follows Isaac and occasionally stomps enemies for 40 damage total.
Sacrificial Dagger,172,"Spawns a dagger orbital familiar , blocking enemy shots and dealing a high amount of damage to enemies in contact."
Mitre,173,Grants a chance of converting any Red Heart pickups that spawn into Soul Hearts instead.
Rainbow Baby,174,Spawns a familiar that follows Isaac around and fires tears with random effects.
Stem Cells,176,Grants one full Red Heart container and +0.16 shot speed . Heals 1 additional Red Heart
Holy Water,178,"Spawns a bottle familiar that breaks when Isaac takes damage, leaving a puddle of blue creep . A bottle familiar that flies forward when Isaac shoots. It breaks upon hitting an enemy, leaving a puddle of blue creep that petrifies enemies."
Fate,179,Grants flight and one Eternal Heart .
The Black Bean,180,"When taking damage, Isaac farts, poisoning enemies in range. When taking damage, Isaac farts five times, poisoning and knocking back nearby enemies and leaving lingering poison clouds."
Sacred Heart,182,"Adds a Red Heart Container . Grants homing tears , a x2.3 Damage multiplier, +1 flat Damage, -0.4 Tears , -0.25 Shot Speed , and +4.125 Range . Adds a Red Heart Container . Grants homing tears , a x2.3 Damage multiplier, +1 flat Damage, -0.4 Tears , and -0.25 Shot Speed ."
Tooth Picks,183,"+0.7 tears , +0.16 shot speed ."
Holy Grail,184,Grants flight and one Red Heart container . Heals 1 additional Red Heart .
Dead Dove,185,Grants spectral tears and flight .
Guppy's Hairball,187,"Spawns a familiar that loosely follows behind Isaac, which blocks shots can be swung like a flail to damage enemies. Grows bigger by killing enemies."
Abel,188,Spawns a familiar that mirrors Isaac's movements and shoots in the opposite direction. Spawns a familiar that mirrors Isaac's movements and shoots towards him.
SMB Super Fan,189,"+1 Red Heart container , +0.3 damage , +0.2 tears , +0.2 speed , +0.5 range , +1 tear falling speed . Fully restores all red hearts. +1 Red Heart container , +0.3 damage , +0.2 tears , +0.2 speed , +2.5 range . Fully restores all red hearts."
Pyro,190,Grants 99 Bombs .
3 Dollar Bill,191,Gives Isaac a random tear effect every room. Gives Isaac a random tear effect every few seconds.
MEAT!,193,"Grants one full Red Heart container , +0.3 damage . Heals 1 additional Red Heart"
Magic 8 Ball,194,"+0.16 shot speed , spawns a random tarot card . Increases the chance of finding a Planetarium ."
Mom's Coin Purse,195,Spawns 4 random pills near Isaac.
Squeezy,196,"+0.4 tears , spawns 2 Soul Hearts ."
Jesus Juice,197,"+0.5 damage , +0.25 range , +0.5 tear falling speed . +0.5 damage , +1.5 range ."
Box,198,"Spawns various pickups : 1 coin , 1 Key , 1 Bomb , 1 Heart , 1 card / rune , 1 pill and 1 trinket ."
Mom's Key,199,Adds 2 keys. Chests will drop additional pickups .
Mom's Eyeshadow,200,Tears have a chance to charm enemies.
Iron Bar,201,"+0.3 damage . Adds a chance to shoot concussive tears , causing enemies to walk around randomly."
Midas' Touch,202,Enemies that touch Isaac are temporarily petrified and turn to gold. Any enemy killed while in this state will drop Pennies .
Humbleing Bundle,203,"Transforms Bombs , Keys , Pennies , and Red Hearts into their respective Double versions. This will occur 50% of the time."
Fanny Pack,204,Has a chance to drop a random pickup when Isaac takes damage.
Sharp Plug,205,Damages Isaac in exchange for fully recharging Isaac's current activated item.
Guillotine,206,"Isaac's head becomes an orbital familiar that blocks shots and deals contact damage. Tears are still fired from the rotating head. +1 damage , -1 tear delay . +1 damage , +0.5 fire rate ."
Ball of Bandages,207,"Creates an orbital familiar . Collecting additional copies gives it the ability to shoot Charm tears, then chase enemies to deal contact damage, then deal even more contact damage."
Champion Belt,208,+1 damage . Increases the chance of champion enemies appearing by 15%.
Butt Bombs,209,"+5 Bombs . Bombs now cloud up the screen, briefly damaging and confusing all enemies."
Gnawed Leaf,210,"After standing still and not shooting for a short time, Isaac turns invincible until he moves or shoots."
Spiderbaby,211,Spawns 1-2 Blue Spiders when Isaac takes damage. Spawns 3-5 Blue Spiders when Isaac takes damage.
Guppy's Collar,212,Grants a permanent 50% chance to respawn with 1/2 of a Red Heart after death .
Lost Contact,213,Isaac's tears can hit and destroy enemy projectiles. -0.15 shot speed .
Anemic,214,"After Isaac is damaged, a trail of red creep will be left behind him until he leaves the current room. +5 range . +1.5 range ."
Goat Head,215,"A Devil Room / Angel Room will always spawn after every boss fight, excluding the first floor and floors after Chapter 4."
Ceremonial Robes,216,Grants 3 Black Hearts and +1 damage .
Mom's Wig,217,Adds a chance to spawn Blue Spiders when firing tears. Restores 1 Red Heart .
Placenta,218,"Grants one full Red Heart container , and a chance to regenerate a Half Red Heart of health every minute of gameplay."
Old Bandage,219,Grants an empty Red Heart container . Adds a chance of dropping a Red Heart after taking damage.
Sad Bombs,220,"+5 Bombs . Upon exploding, bombs shoot 10 tears around them, affected by tear modifiers."
Rubber Cement,221,"Tears bounce off walls, enemies , and environmental objects ."
Anti-Gravity,222,"Tears float in position until firing ceases, after which they will fly off in the direction they were shot in. -2 Tear Delay. +1 Fire Rate."
Pyromaniac,223,+5 bombs . Grants immunity to explosion damage and causes explosions to heal Isaac. Also grants immunity to fire.
Cricket's Body,224,"When tears hit an object or deplete their range, they spawn 4 smaller tears, whose range and damage scale with Isaac's. Grants -1 tear delay and reduces range . Grants +0.5 fire rate and reduces range ."
Gimpy,225,Gives chance of spawning a Soul Heart when taking damage. Enemies have a chance to drop a Half Red Heart after being killed.
Black Lotus,226,"Grants one Red Heart Container , one Soul Heart , and one Black Heart ."
Piggy Bank,227,"Gives 3 Pennies on pick-up. Every time Isaac is damaged, he will drop one or two additional pennies."
Mom's Perfume,228,Adds a chance to shoot fear tears . Decreases tear delay by 1. +0.5 fire rate .
Monstro's Lung,229,Replaces normal tears with a charged shot that fires 14 tears in the same fashion as Monstro .
Abaddon,230,"+1.5 damage , +0.2 speed . Removes all Red Heart containers , grants six Black Hearts , and adds a chance to shoot fear tears. +1.5 damage , +0.2 speed . Grants two Black Hearts , converts all Red Heart Containers into Black Hearts, and adds a chance to shoot fear tears."
Ball of Tar,231,"Adds a chance to shoot slowing tears. Isaac leaves a trail of slowing creep behind as he moves, impeding enemies' speed."
Stop Watch,232,"+0.3 speed . Automatically inflicts slow to all enemies in every room. +0.3 speed . Upon taking damage, inflicts slow to all enemies for the current room. +0.3 speed . Slows all enemies in every room to 80% speed."
Tiny Planet,233,Massively increases Range and grants spectral tears . Tears orbit around Isaac at a fixed distance until they hit the ground.
Infestation 2,234,Spawns allied Blue Spiders from killed enemies.
E. Coli,236,Enemies that touch Isaac are transformed into Poop .
Death's Touch,237,"+1.5 damage , -0.3 tears . Tears are replaced with large piercing scythes."
Key Piece 1,238,"Combined with Key Piece 2 , unlocks the golden gate in the starting room of Chest and Dark Room to fight Mega Satan ."
Key Piece 2,239,"Combined with Key Piece 1 , unlocks the golden gate in the starting room of Chest and Dark Room to fight Mega Satan ."
Experimental Treatment,240,Randomly increases and decreases some of Isaac's stats . Increases four random stats and decreases the other two.
Contract From Below,241,"Doubles the number of most room clear awards, but reduces the overall chance of getting one by 1/3."
Infamy,242,Gives Isaac a 50% chance to block projectiles coming from any direction.
Trinity Shield,243,Isaac gains a shield that protects him from enemy shots. It aims in the direction Isaac fires from.
Tech.5,244,"Isaac occasionally fires an unlimited range piercing laser alongside his normal tears. The laser can glitch, mimicking the effects of certain items and trinkets."
20/20,245,"Isaac fires two tears at once, one from each eye. 0.8× damage multiplier."
Blue Map,246,Reveals the locations of Secret Rooms and Super Secret Rooms on the map.
BFFS!,247,Increases the size and effectiveness of most familiars .
Hive Mind,248,Increases the size of Blue Spiders and Blue Flies and doubles the amount of damage they deal. Also increases the effectiveness of fly and spider familiars .
There's Options,249,Two items appear after defeating a Boss . Only one can be taken; the other will disappear.
BOGO Bombs,250,All normal Bombs become Double Bombs .
Starter Deck,251,Isaac can hold 2 cards at once and all pills are replaced by cards.
Little Baggy,252,Isaac can hold 2 pills at once and all cards and runes are replaced by pills.
Magic Scab,253,"Grants one full Red Heart container , +1 luck . Heals 1 additional Red Heart ."
Blood Clot,254,"Tears fired from the left eye have +1 flat damage , +5 range , and +0.5 tear falling speed . Tears fired from the left eye have +1 flat damage and +2.75 range ."
Screw,255,"+0.5 tears , +0.2 shot speed ."
Hot Bombs,256,+5 Bombs . Isaac's bombs leave behind fire that damages enemies upon contact.
Fire Mind,257,"Grants flaming tears that deal burning damage over time. Tears have a chance to explode on impact with an enemy, which creates a fire at the location of the explosion."
Missing No.,258,Randomizes all passive items and stats upon pickup and at the start of each succeeding floor.
Dark Matter,259,"+1 damage , adds a chance to shoot fear tears ."
Black Candle,260,Prevents curses . Grants one Black Heart . Increases the chance for a Devil Room or Angel Room to appear.
Proptosis,261,"Tears start out massive with high damage , and then shrink down and become weaker over a short range."
Missing Page 2,262,"Grants one Black Heart . Upon taking damage that reduces Isaac's health to one heart or less, deals damage to all enemies in the room. Increases the damage of Black Hearts and The Necronomicon -like effects by 40."
Smart Fly,264,"Spawns an orbital familiar that blocks enemy shots. Upon taking damage, the familiar will pursue enemies for the rest of the room , dealing 22.5 damage per second."
Dry Baby,265,"Spawns a familiar that follows Isaac around and blocks enemy projectiles. Upon blocking a shot, it has a chance of triggering The Necronomicon effect."
Juicy Sack,266,"Spawns a familiar that follows Isaac and drips a trail of slow creep , spawning 1-2 Blue Spiders after each room ."
Robo-Baby 2.0,267,Spawns a familiar that fires lasers at any enemy in its line of sight and moves based on the direction Isaac is firing tears.
Rotten Baby,268,Spawns a familiar that spawns a Blue Fly when Isaac shoots. It can only have one Fly at a time.
Headless Baby,269,"Spawns a familiar that follows Isaac, leaving blood creep on the ground."
Leech,270,"Spawns a leech familiar that chases enemies, dealing ~3 damage per second. Heals a Half Red Heart whenever Leech kills an enemy."
Mystery Sack,271,"Spawns a familiar that drops a Heart , coin , Bomb , or Key every 5-6 rooms ."
BBF,272,Spawns a familiar that flies around the room in a zig-zag pattern and explodes on contact with an enemy. Respawns after ten seconds.
Bob's Brain,273,"Spawns a familiar that charges forward when shooting tears and explodes upon contact with an enemy, damaging and poisoning them. The familiar respawns after a few seconds."
Best Bud,274,"When hit, spawns a quickly orbiting attack fly similar to Forever alone for the current room that deals high damage."
Lil Brimstone,275,Grants a familiar that charges a thin Brimstone laser while Isaac is shooting.
Isaac's Heart,276,"Isaac himself is now immune to all damage, and a heart familiar follows him. If the heart is hurt, Isaac is hurt. The heart charges up as Isaac shoots, firing 8 blood shots, knocking back enemies, and leaving a puddle of creep when released."
Lil Haunt,277,"Spawns a familiar that chases down enemies, dealing 4 damage per second and inflicting fear ."
Dark Bum,278,"Spawns a familiar that follows Isaac around and collects Red Hearts . For every 1½ Red Hearts collected, Dark Bum will give a reward."
Big Fan,279,"Spawns a large, slow-moving orbital familiar that blocks enemy shots and deals 30 damage per second to enemies. Reduces the speed other orbitals rotate at."
Sissy Longlegs,280,"Spawns a familiar that wanders randomly, occasionally spawning Blue Spiders . Briefly charms enemies on contact."
Punching Bag,281,Spawns a Mulligan familiar that wanders randomly. Enemies will attack the Mulligan if it's closer.
Taurus,299,"-0.3 Speed . Isaac builds speed while in a room with enemies. At max speed, he gains the My Little Unicorn effect for 5 seconds."
Aries,300,+0.25 Speed . Running into enemies while at a high speed will deal damage. Prevents Isaac from taking contact damage while moving at high speed.
Cancer,301,Adds 3 Soul Hearts . Grants The Wafer effect for the current room after taking damage.
Leo,302,Isaac can destroy rocks by walking into them.
Virgo,303,Adds a chance to give a shield that nullifies all incoming damage for 10 seconds upon taking damage. Also converts bad pills into good pills.
Libra,304,"Gives 6 Coins , 6 Bombs , and 6 Keys and balances out all attributes ."
Scorpio,305,"Grants poison tears , which deal damage over time when inflicted."
Sagittarius,306,Increases speed by +0.2 and grants piercing tears .
Capricorn,307,"Adds 1 Red Heart Container , gives +0.5 Damage , +0.1 Speed , +1.5 Range , and -1.0 Tear Delay , and gives 1 Bomb , Penny , and Key . Adds 1 Red Heart Container , gives +0.5 Damage , +0.1 Speed , +0.75 Range , and +0.5 Fire Rate , and gives 1 Bomb , Penny , and Key ."
Aquarius,308,"A trail of blue creep is left behind Isaac, which damages enemies. The creep scales with damage and inherits most tear effects ."
Pisces,309,"-1 Tear Delay, adds knock-back shots and increases tear size. +0.5 Fire Rate, adds knock-back shots and increases tear size."
Eve's Mascara,310,"Doubles damage , halves tears stat, and greatly reduces shot speed . Doubles damage , 0.66x tears multiplier, and greatly reduces shot speed ."
Judas' Shadow,311,"Upon death , respawns Isaac as Dark Judas with two Black Hearts in the previous room."
Maggy's Bow,312,Gives one Red Heart Container and doubles the healing provided by Red Hearts . Also heals 1 Red Heart when obtained.
Holy Mantle,313,Grants a shield that negates the first instance of damage taken from a hostile source once per room.
Thunder Thighs,314,Destroys rocks upon contact with Isaac. Adds one Red Heart container and lowers Speed .
Strange Attractor,315,"Pickups , trinkets , and monsters are magnetically attracted to Isaac's tears."
Cursed Eye,316,Grants charged tears that can be fired in a tight burst. Getting hit while charging will teleport Isaac to another room.
Mysterious Liquid,317,"Tears leave a small, short lasting pool of creep on impact or when their range is depleted."
Gemini,318,"Spawns a conjoined familiar which chases enemies close to Isaac, dealing ~6.43 damage per second."
Cain's Other Eye,319,Spawns a familiar that slowly floats around the room on a zig-zag pattern and shoots normal tears in the same direction as Isaac. Spawns a familiar that follows Isaac and fires tears in random cardinal directions that copy Isaac's tears and tear effects and scale with damage .
???'s Only Friend,320,Spawns a controllable familiar that deals 37.5 damage per second on touch. It can be moved using the shooting directional keys
Samson's Chains,321,"Attaches a ball and chain to Isaac that pulls behind him that damages enemies, blocks shots, and destroys most Obstacles ."
Mongo Baby,322,Spawns a familiar that copies the tears of Isaac's other familiars.
The Polaroid,327,"If Isaac has half a red heart or no red hearts after taking damage, he gains a shield that nullifies all types of damage for 5 seconds. Allows entrance into Chest . Also allows access to Home ."
The Negative,328,"If Isaac has half a red heart or no red hearts after taking damage, all enemies in the room take significant damage. Allows entrance into the Dark Room . +1 Damage and also allows access to Home ."
The Ludovico Technique,329,"Instead of firing tears, Isaac controls one floating tear that hover over obstacles. This tear deals constant damage when held in place over an enemy."
Soy Milk,330,"Tears are smaller and do much less damage , but fire in very rapid succession."
Godhead,331,"Grants homing tears with a damaging halo. +0.5 Damage , -0.3 Tears -0.3 Shot Speed , +0.8 Tear Falling Speed , and +1.2 Range . Grants homing tears with a damaging halo. +0.5 Damage , -0.3 Tears , and -0.3 Shot Speed ."
Lazarus' Rags,332,"Upon dying, resurrect as Lazarus Risen in the current room with one Red Heart container and Anemic . Upon dying, resurrect as Lazarus Risen in the current room with one less Red Heart container, Anemic , and +0.5 Damage . Transform into Lazarus when reaching the next floor."
The Mind,333,"Reveals the entire map, including all special rooms and Secret Rooms ."
The Body,334,Adds 3 Red Heart Containers .
The Soul,335,Grants two Soul Hearts . Isaac gains a pulsing aura that repels enemies and projectiles.
Dead Onion,336,Grants piercing and spectral tears. Increases tear size (without increasing damage ) while greatly reducing range and shot speed .
Broken Watch,337,"Slows all enemies in every fourth newly-discovered room, with a small chance to speed them up instead."
Safety Pin,339,"Grants one Black Heart , +5.25 range , +0.5 tear falling speed , +0.16 shot speed . Grants one Black Heart , +2.5 range , +0.16 shot speed ."
Caffeine Pill,340,"Grants +0.3 speed , reduces Isaac's size, and gives a random pill ."
Torn Photo,341,"+0.7 tears , +0.16 shot speed ."
Blue Cap,342,"Gives one full Red Heart container , +0.7 tears , and -0.16 shot speed . Heals 1 additional Red Heart ."
Latch Key,343,Grants 1 Soul Heart and +1 luck . Spawns 2 Keys .
Match Book,344,"Grants Isaac one Black Heart , spawns two or three Bombs . Also spawns Match Stick if it hasn't been encountered yet."
Synthoil,345,"+1 damage , +5.25 range , +0.5 tear falling speed . +1 damage , +2.5 range ."
A Snack,346,Grants one full Red Heart container . Heals 1 additional Red Heart .
Toxic Shock,350,"Upon entering a room, poisons all enemies, dealing double Isaac's tear damage . Killing enemies leaves a small, short-lasting pool of green creep on the ground."
Bomber Boy,353,+5 Bombs . Isaac's bombs will now explode in a large cross-shaped pattern (roughly 5 bombs explosions wide). This also affects player-spawned Troll Bombs .
Crack Jacks,354,Grants one full Red Heart container and drops a random trinket . Heals 1 additional Red Heart .
Mom's Pearls,355,"+1.25 range , +0.5 tear falling speed , +1 luck . +2.5 range , +1 luck . Grants one Soul Heart ."
Car Battery,356,Causes Isaac's activated item to activate twice on each use.
The Wiz,358,"Grants spectral tears. Tears simultaneously fire out of both eyes diagonally, similar to the effect of the R U a Wizard? pill."
8 Inch Nails,359,"+1.5 damage . Replaces Isaac's tears with nails, which have increased knockback ."
Incubus,360,"Spawns a demonic familiar that shoots tears identical to Isaac's in terms of damage , tears , and tear effects ."
Fate's Reward,361,A blue head familiar that will follow Isaac and fire tears copying his tear effects and damage .
Lil Chest,362,Spawns a chest familiar that spawns a random pickup (25% chance) or trinket (10% chance) upon clearing a room .
Sworn Protector,363,"Spawns an orbital familiar which does 105 damage per second and attracts and blocks enemy shots. Upon blocking 10 shots in a room , it drops an Eternal Heart ."
